label,text
ham,Don’t forget to send me the report by tonight.
ham,Meeting has been rescheduled to Monday at 10 AM.
ham,"Hey, are we still on for lunch tomorrow?"
ham,"Hey, are we still on for lunch tomorrow?"
spam,Limited time offer! Buy one get one free. Visit our website today.
ham,"I'll be on leave next week, let the team know."
ham,Let’s catch up this weekend. It’s been a while!
ham,Please find the attached file regarding the project proposal.
ham,Great work on the presentation yesterday.
spam,You’ve won a new iPhone. Enter your details to receive it.
ham,Don’t forget to send me the report by tonight.
spam,You’ve won a new iPhone. Enter the details to receive it.
ham,Let’s catch up this weekend. It’s been a while!
ham,Please find the attached file regarding the project proposal.
ham,"I'll be on leave next week, let the team know."
ham,Great work on the presentation yesterday.
spam,Congratulations! You've won a $1000 gift card. Act immediately to claim now.
ham,Please find the attached file regarding the project proposal.
ham,Don’t forget to send me the report by tonight.
spam,You have unclaimed funds waiting. Click to retrieve.
ham,Great work on the presentation yesterday.
spam,Your loan is approved. Visit now to finalize the transfer.
spam,Limited time offer! Buy one get one free. Visit our website today.
ham,Meeting has been rescheduled to Monday at 10 AM.
spam,Congratulations! You've won a $1000 gift card. Click here to claim now.
spam,Act now! This offer expires in 24 hours. Don't miss out.
spam,Limited time offer! Buy one get one free. Visit our website today.
ham,Let’s catch up this weekend. It’s been a while!
ham,"Hi Waleed, just checking in about the meeting next week."
ham,Meeting has been rescheduled to Monday at 10 AM.
spam,You’ve won a new iPhone. Enter our details to receive it.
spam,You have unclaimed funds waiting. Click to retrieve.
ham,Don’t forget to send me the report by tonight.
spam,You have unclaimed funds waiting. Click to retrieve.
spam,Congratulations! You've won a $1000 gift card. Act immediately to claim now.
spam,Final notice: Update the billing info to avoid suspension.
ham,Meeting has been rescheduled to Monday at 10 AM.
ham,Thanks for your help the other day!
ham,Don’t forget to send me the report by tonight.
spam,You have unclaimed funds waiting. Click to retrieve.
spam,Final notice: Update our billing info to avoid suspension.
spam,You’ve won a new iPhone. Enter the details to receive it.
spam,You've been selected for a free vacation. Confirm our details now.
ham,Thanks for the help the other day!
spam,You have unclaimed funds waiting. Click to retrieve.
spam,Claim the free reward now by verifying the email.
ham,Thanks for the help the other day!
ham,Don’t forget to send me the report by tonight.
spam,You have unclaimed funds waiting. Click to retrieve.
ham,Meeting has been rescheduled to Monday at 10 AM.
ham,"Hey, are we still on for lunch tomorrow?"
ham,Great work on the presentation yesterday.
spam,Limited time offer! Buy one get one free. Visit our website today.
ham,"I'll be on leave next week, let the team know."
spam,Earn $500 daily from home. No experience required. Join today.
spam,Congratulations! You've won a $1000 gift card. Act immediately to claim now.
ham,Meeting has been rescheduled to Monday at 10 AM.
spam,Congratulations! You've won a $1000 gift card. Act immediately to claim now.
spam,Limited time offer! Buy one get one free. Visit our website today.
ham,"Hey, are we still on for lunch tomorrow?"
spam,You’ve won a new iPhone. Enter the details to receive it.
spam,Your loan is approved. Click here to finalize the transfer.
ham,"Hi Waleed, just checking in about the meeting next week."
spam,You have unclaimed funds waiting. Click to retrieve.
ham,Thanks for the help the other day!
ham,"Hi Waleed, just checking in about the meeting next week."
